Partner Name,Year,Export (US$ Thousand),Import (US$ Thousand),AHS Weighted Average (%),MFN Weighted Average (%),AHS Duty Free Tariff Lines Share (%),standard_name,Country Code,Indicator,Rank,has_RCA,has_Country_Growth
Afghanistan,1996,455321.07,96344.42,7.56,10.7,41.19,Afghanistan,AFG,cc,4.3,0,0
Afghanistan,1996,455321.07,96344.42,7.56,10.7,41.19,Afghanistan,AFG,pv,2.1,0,0
Afghanistan,1996,455321.07,96344.42,7.56,10.7,41.19,Afghanistan,AFG,rl,1.5,0,0
Afghanistan,1996,455321.07,96344.42,7.56,10.7,41.19,Afghanistan,AFG,va,1.0,0,0
Angola,1996,1880776.81,4670605.46,16.15,8.51,70.47,Angola,AGO,cc,9.7,0,0
Angola,1996,1880776.81,4670605.46,16.15,8.51,70.47,Angola,AGO,pv,3.7,0,0
Angola,1996,1880776.81,4670605.46,16.15,8.51,70.47,Angola,AGO,rl,3.5,0,0
Angola,1996,1880776.81,4670605.46,16.15,8.51,70.47,Angola,AGO,va,6.0,0,0
Albania,1996,1188836.78,310768.3,6.45,13.99,27.79,Albania,ALB,cc,19.4,1,0
Albania,1996,1188836.78,310768.3,6.45,13.99,27.79,Albania,ALB,pv,35.6,1,0
Albania,1996,1188836.78,310768.3,6.45,13.99,27.79,Albania,ALB,rl,28.6,1,0
Albania,1996,1188836.78,310768.3,6.45,13.99,27.79,Albania,ALB,va,29.5,1,0
Netherlands Antilles,1996,3396887.73,1642648.49,17.05,10.51,22.84,Thailand,THA,cc,45.2,0,0
Netherlands Antilles,1996,3396887.73,1642648.49,17.05,10.51,22.84,Thailand,THA,pv,61.7,0,0
Netherlands Antilles,1996,3396887.73,1642648.49,17.05,10.51,22.84,Thailand,THA,rl,64.8,0,0
Netherlands Antilles,1996,3396887.73,1642648.49,17.05,10.51,22.84,Thailand,THA,va,60.5,0,0
United Arab Emirates,1996,24464146.26,23209316.06,30.79,12.21,28.1,United Arab Emirates,ARE,cc,57.5,0,0
United Arab Emirates,1996,24464146.26,23209316.06,30.79,12.21,28.1,United Arab Emirates,ARE,pv,78.2,0,0
United Arab Emirates,1996,24464146.26,23209316.06,30.79,12.21,28.1,United Arab Emirates,ARE,rl,68.8,0,0
United Arab Emirates,1996,24464146.26,23209316.06,30.79,12.21,28.1,United Arab Emirates,ARE,va,37.0,0,0
Argentina,1996,22099467.52,23523339.57,15.69,16.69,18.74,Argentina,ARG,cc,53.8,1,1
Argentina,1996,22099467.52,23523339.57,15.69,16.69,18.74,Argentina,ARG,pv,51.1,1,1
Argentina,1996,22099467.52,23523339.57,15.69,16.69,18.74,Argentina,ARG,rl,54.3,1,1
Argentina,1996,22099467.52,23523339.57,15.69,16.69,18.74,Argentina,ARG,va,62.5,1,1
Armenia,1996,460593.84,169318.56,5.83,24.7,15.06,Armenia,ARM,cc,38.2,0,0
Armenia,1996,460593.84,169318.56,5.83,24.7,15.06,Armenia,ARM,pv,34.0,0,0
Armenia,1996,460593.84,169318.56,5.83,24.7,15.06,Armenia,ARM,rl,37.7,0,0
Armenia,1996,460593.84,169318.56,5.83,24.7,15.06,Armenia,ARM,va,33.0,0,0
Antigua and Barbuda,1996,308804.73,54945.05,3.39,8.34,37.85,Antigua and Barbuda,ATG,cc,80.1,0,0
Antigua and Barbuda,1996,308804.73,54945.05,3.39,8.34,37.85,Antigua and Barbuda,ATG,pv,70.7,0,0
Antigua and Barbuda,1996,308804.73,54945.05,3.39,8.34,37.85,Antigua and Barbuda,ATG,rl,82.9,0,0
Antigua and Barbuda,1996,308804.73,54945.05,3.39,8.34,37.85,Antigua and Barbuda,ATG,va,61.5,0,0
Australia,1996,52003984.77,55694652.22,10.19,12.3,31.45,Australia,AUS,cc,93.5,1,1
Australia,1996,52003984.77,55694652.22,10.19,12.3,31.45,Australia,AUS,pv,96.3,1,1
