"indicator ",reporter_code,reporter_name,year,classification_version,product_code,partner_code,partner_name,value,adb.source
Exports,C410,"Korea, Republic of",2024,HS22,850440,A000,World,971094972,"Trade Data Monitor"
Exports,C156,China,2023,HS22,850440,A000,World,33548709962,"UN Comtrade"
Exports,C156,China,2024,HS22,850440,A000,World,31489209793,"Trade Data Monitor"
Exports,C840,"United States of America",2024,HS22,850440,A000,World,5693727844,"Trade Data Monitor"
Exports,C840,"United States of America",2020,HS17,850440,A000,World,3942008510,"UN Comtrade"
Exports,C704,"Viet Nam",2022,HS17,850440,A000,World,2996190447.18435,"UN Comtrade"
Exports,C392,Japan,2023,HS22,850440,A000,World,2963169692.88,"UN Comtrade"
Exports,C392,Japan,2020,HS17,850440,A000,World,2452168796.2,"UN Comtrade"
Exports,C410,"Korea, Republic of",2022,HS22,850440,A000,World,1116698611,"UN Comtrade"
Exports,C156,China,2021,HS17,850440,A000,World,27430266104,"UN Comtrade"
Exports,C410,"Korea, Republic of",2020,HS17,850440,A000,World,791092924,"UN Comtrade"
Exports,C410,"Korea, Republic of",2023,HS22,850440,A000,World,1255233875,"Trade Data Monitor"
Exports,C156,China,2022,HS22,850440,A000,World,34331733032,"UN Comtrade"
Exports,C840,"United States of America",2022,HS22,850440,A000,World,5126121608,"UN Comtrade"
Exports,C392,Japan,2024,HS22,850440,A000,World,2614587288.6833,"Trade Data Monitor"
Exports,C840,"United States of America",2023,HS22,850440,A000,World,5874454905,"UN Comtrade"
Exports,C840,"United States of America",2021,HS17,850440,A000,World,4466966944,"UN Comtrade"
Exports,C410,"Korea, Republic of",2021,HS17,850440,A000,World,1005856396,"UN Comtrade"
Exports,C704,"Viet Nam",2021,HS17,850440,A000,World,3248201334.94,"UN Comtrade"
Exports,C392,Japan,2022,HS22,850440,A000,World,2661718387.111,"UN Comtrade"
Exports,C392,Japan,2021,HS17,850440,A000,World,2822995778.807,"UN Comtrade"
Exports,C156,China,2020,HS17,850440,A000,World,21060699359,"UN Comtrade"
Exports,C704,"Viet Nam",2020,HS17,850440,A000,World,1185593070.483,"UN Comtrade"
Exports,C156,China,2020,HS17,850440,C004,Afghanistan,9141145,"UN Comtrade"
Exports,C156,China,2022,HS22,850440,C004,Afghanistan,13760390,"UN Comtrade"
Exports,C840,"United States of America",2023,HS22,850440,C004,Afghanistan,13414,"UN Comtrade"
Exports,C840,"United States of America",2022,HS22,850440,C004,Afghanistan,57849,"UN Comtrade"
Exports,C156,China,2021,HS17,850440,C004,Afghanistan,11523255,"UN Comtrade"
Exports,C840,"United States of America",2024,HS22,850440,C004,Afghanistan,23158,"Trade Data Monitor"
Exports,C410,"Korea, Republic of",2021,HS17,850440,C004,Afghanistan,2659,"UN Comtrade"
Exports,C410,"Korea, Republic of",2020,HS17,850440,C004,Afghanistan,7121,"UN Comtrade"
Exports,C156,China,2023,HS22,850440,C004,Afghanistan,30140261,"UN Comtrade"
Exports,C840,"United States of America",2020,HS17,850440,C004,Afghanistan,4063069,"UN Comtrade"
Exports,C156,China,2024,HS22,850440,C004,Afghanistan,74887064,"Trade Data Monitor"
Exports,C840,"United States of America",2021,HS17,850440,C004,Afghanistan,2639808,"UN Comtrade"
Exports,C410,"Korea, Republic of",2021,HS17,850440,C008,Albania,1960,"UN Comtrade"
Exports,C840,"United States of America",2022,HS22,850440,C008,Albania,101533,"UN Comtrade"
Exports,C410,"Korea, Republic of",2020,HS17,850440,C008,Albania,275,"UN Comtrade"
Exports,C156,China,2022,HS22,850440,C008,Albania,5002266,"UN Comtrade"
Exports,C410,"Korea, Republic of",2024,HS22,850440,C008,Albania,14,"Trade Data Monitor"
Exports,C156,China,2020,HS17,850440,C008,Albania,2112995,"UN Comtrade"
Exports,C156,China,2021,HS17,850440,C008,Albania,3714221,"UN Comtrade"
Exports,C840,"United States of America",2021,HS17,850440,C008,Albania,9175,"UN Comtrade"
Exports,C840,"United States of America",2023,HS22,850440,C008,Albania,338813,"UN Comtrade"
Exports,C840,"United States of America",2020,HS17,850440,C008,Albania,10571,"UN Comtrade"
Exports,C156,China,2024,HS22,850440,C008,Albania,6580585,"Trade Data Monitor"
Exports,C840,"United States of America",2024,HS22,850440,C008,Albania,52499,"Trade Data Monitor"
Exports,C156,China,2023,HS22,850440,C008,Albania,10246218,"UN Comtrade"
Exports,C410,"Korea, Republic of",2022,HS22,850440,C012,Algeria,17311,"UN Comtrade"
Exports,C156,China,2022,HS22,850440,C012,Algeria,29984071,"UN Comtrade"
Exports,C392,Japan,2020,HS17,850440,C012,Algeria,10256.699,"UN Comtrade"
Exports,C392,Japan,2021,HS17,850440,C012,Algeria,20846.54,"UN Comtrade"
Exports,C392,Japan,2023,HS22,850440,C012,Algeria,49725.51,"UN Comtrade"
Exports,C156,China,2023,HS22,850440,C012,Algeria,82625061,"UN Comtrade"
Exports,C840,"United States of America",2022,HS22,850440,C012,Algeria,1815060,"UN Comtrade"
Exports,C840,"United States of America",2023,HS22,850440,C012,Algeria,1347371,"UN Comtrade"
Exports,C156,China,2020,HS17,850440,C012,Algeria,37424118,"UN Comtrade"
Exports,C410,"Korea, Republic of",2024,HS22,850440,C012,Algeria,12866,"Trade Data Monitor"
Exports,C392,Japan,2024,HS22,850440,C012,Algeria,560054.4375,"Trade Data Monitor"
Exports,C156,China,2021,HS17,850440,C012,Algeria,27527595,"UN Comtrade"
Exports,C840,"United States of America",2020,HS17,850440,C012,Algeria,1964246,"UN Comtrade"
Exports,C410,"Korea, Republic of",2023,HS22,850440,C012,Algeria,199175,"Trade Data Monitor"
Exports,C410,"Korea, Republic of",2021,HS17,850440,C012,Algeria,49996,"UN Comtrade"
Exports,C840,"United States of America",2021,HS17,850440,C012,Algeria,993833,"UN Comtrade"
Exports,C840,"United States of America",2024,HS22,850440,C012,Algeria,1316695,"Trade Data Monitor"
Exports,C156,China,2024,HS22,850440,C012,Algeria,73711048,"Trade Data Monitor"
Exports,C392,Japan,2022,HS22,850440,C012,Algeria,40890.311,"UN Comtrade"
Exports,C410,"Korea, Republic of",2020,HS17,850440,C012,Algeria,207042,"UN Comtrade"
Exports,C156,China,2020,HS17,850440,C020,Andorra,12602,"UN Comtrade"
Exports,C156,China,2021,HS17,850440,C020,Andorra,31364,"UN Comtrade"
Exports,C156,China,2023,HS22,850440,C020,Andorra,56098,"UN Comtrade"
Exports,C156,China,2024,HS22,850440,C020,Andorra,25587,"Trade Data Monitor"
Exports,C840,"United States of America",2024,HS22,850440,C020,Andorra,10951,"Trade Data Monitor"
Exports,C156,China,2022,HS22,850440,C020,Andorra,67077,"UN Comtrade"
Exports,C840,"United States of America",2023,HS22,850440,C020,Andorra,4222,"UN Comtrade"
Exports,C392,Japan,2023,HS22,850440,C024,Angola,1565.934,"UN Comtrade"
Exports,C840,"United States of America",2022,HS22,850440,C024,Angola,1192594,"UN Comtrade"
Exports,C156,China,2022,HS22,850440,C024,Angola,12774597,"UN Comtrade"
Exports,C392,Japan,2022,HS22,850440,C024,Angola,20677.098,"UN Comtrade"
Exports,C392,Japan,2024,HS22,850440,C024,Angola,21278.453125,"Trade Data Monitor"
Exports,C704,"Viet Nam",2022,HS17,850440,C024,Angola,1230.95,"UN Comtrade"
Exports,C156,China,2023,HS22,850440,C024,Angola,16574858,"UN Comtrade"
Exports,C392,Japan,2021,HS17,850440,C024,Angola,4018.061,"UN Comtrade"
Exports,C840,"United States of America",2023,HS22,850440,C024,Angola,2019155,"UN Comtrade"
Exports,C704,"Viet Nam",2020,HS17,850440,C024,Angola,1800,"UN Comtrade"
Exports,C840,"United States of America",2020,HS17,850440,C024,Angola,2357967,"UN Comtrade"
Exports,C410,"Korea, Republic of",2024,HS22,850440,C024,Angola,7532,"Trade Data Monitor"
Exports,C156,China,2021,HS17,850440,C024,Angola,14597101,"UN Comtrade"
Exports,C156,China,2020,HS17,850440,C024,Angola,6364105,"UN Comtrade"
Exports,C410,"Korea, Republic of",2020,HS17,850440,C024,Angola,14504,"UN Comtrade"
Exports,C410,"Korea, Republic of",2022,HS22,850440,C024,Angola,4578,"UN Comtrade"
Exports,C410,"Korea, Republic of",2021,HS17,850440,C024,Angola,4210,"UN Comtrade"
Exports,C840,"United States of America",2021,HS17,850440,C024,Angola,2268470,"UN Comtrade"
Exports,C156,China,2024,HS22,850440,C024,Angola,12798200,"Trade Data Monitor"
Exports,C410,"Korea, Republic of",2023,HS22,850440,C024,Angola,3858,"Trade Data Monitor"
Exports,C840,"United States of America",2024,HS22,850440,C024,Angola,2096338,"Trade Data Monitor"
Exports,C156,China,2024,HS22,850440,C028,"Antigua and Barbuda",100615,"Trade Data Monitor"
Exports,C156,China,2022,HS22,850440,C028,"Antigua and Barbuda",60257,"UN Comtrade"
Exports,C840,"United States of America",2023,HS22,850440,C028,"Antigua and Barbuda",717854,"UN Comtrade"
Exports,C840,"United States of America",2022,HS22,850440,C028,"Antigua and Barbuda",532810,"UN Comtrade"
Exports,C156,China,2023,HS22,850440,C028,"Antigua and Barbuda",70145,"UN Comtrade"
Exports,C392,Japan,2022,HS22,850440,C028,"Antigua and Barbuda",1802.307,"UN Comtrade"
Exports,C156,China,2021,HS17,850440,C028,"Antigua and Barbuda",174221,"UN Comtrade"
Exports,C840,"United States of America",2024,HS22,850440,C028,"Antigua and Barbuda",758302,"Trade Data Monitor"
Exports,C840,"United States of America",2020,HS17,850440,C028,"Antigua and Barbuda",611018,"UN Comtrade"
Exports,C840,"United States of America",2021,HS17,850440,C028,"Antigua and Barbuda",293351,"UN Comtrade"
Exports,C156,China,2020,HS17,850440,C028,"Antigua and Barbuda",72322,"UN Comtrade"
Exports,C156,China,2023,HS22,850440,C031,Azerbaijan,467,"UN Comtrade"
Exports,C156,China,2021,HS17,850440,C031,Azerbaijan,3315106,"UN Comtrade"
Exports,C410,"Korea, Republic of",2023,HS22,850440,C031,Azerbaijan,1027,"Trade Data Monitor"
Exports,C392,Japan,2022,HS22,850440,C031,Azerbaijan,37871.257,"UN Comtrade"
Exports,C704,"Viet Nam",2022,HS17,850440,C031,Azerbaijan,210648.56,"UN Comtrade"
Exports,C156,China,2020,HS17,850440,C031,Azerbaijan,2348840,"UN Comtrade"
Exports,C840,"United States of America",2022,HS22,850440,C031,Azerbaijan,271775,"UN Comtrade"
Exports,C156,China,2022,HS22,850440,C031,Azerbaijan,7927833,"UN Comtrade"
Exports,C410,"Korea, Republic of",2020,HS17,850440,C031,Azerbaijan,4426,"UN Comtrade"
Exports,C410,"Korea, Republic of",2021,HS17,850440,C031,Azerbaijan,604508,"UN Comtrade"
Exports,C840,"United States of America",2020,HS17,850440,C031,Azerbaijan,2219114,"UN Comtrade"
Exports,C392,Japan,2021,HS17,850440,C031,Azerbaijan,2296.035,"UN Comtrade"
Exports,C156,China,2024,HS22,850440,C031,Azerbaijan,14877493,"Trade Data Monitor"
Exports,C840,"United States of America",2023,HS22,850440,C031,Azerbaijan,917358,"UN Comtrade"
Exports,C392,Japan,2023,HS22,850440,C031,Azerbaijan,1494.755,"UN Comtrade"
Exports,C410,"Korea, Republic of",2022,HS22,850440,C031,Azerbaijan,2823,"UN Comtrade"
Exports,C392,Japan,2024,HS22,850440,C031,Azerbaijan,5143.916015625,"Trade Data Monitor"
Exports,C410,"Korea, Republic of",2024,HS22,850440,C031,Azerbaijan,18909,"Trade Data Monitor"
Exports,C840,"United States of America",2021,HS17,850440,C031,Azerbaijan,232337,"UN Comtrade"
Exports,C392,Japan,2020,HS17,850440,C031,Azerbaijan,21272.805,"UN Comtrade"
