"indicator ",reporter_code,reporter_name,year,classification_version,product_code,partner_code,partner_name,value,adb.source
Imports,C392,Japan,2021,HS17,850440,A000,World,2608196160.1698,"WTO IDB"
Imports,C410,"Korea, Republic of",2024,HS22,850440,A000,World,2465710995,"Trade Data Monitor"
Imports,C840,"United States of America",2021,HS17,850440,A000,World,12517195437,"WTO IDB"
Imports,C840,"United States of America",2022,HS22,850440,A000,World,15201212045,"WTO IDB"
Imports,C392,Japan,2023,HS22,850440,A000,World,2992919856.22877,"WTO IDB"
Imports,C410,"Korea, Republic of",2021,HS17,850440,A000,World,1851513081,"WTO IDB"
Imports,C410,"Korea, Republic of",2020,HS17,850440,A000,World,1551033948,"WTO IDB"
Imports,C392,Japan,2024,HS22,850440,A000,World,2705368422.65088,"Trade Data Monitor"
Imports,C704,"Viet Nam",2021,HS17,850440,A000,World,1148796562.284,"UN Comtrade"
Imports,C410,"Korea, Republic of",2022,HS22,850440,A000,World,2112833895,"WTO IDB"
Imports,C392,Japan,2022,HS22,850440,A000,World,2965456231.42683,"WTO IDB"
Imports,C156,China,2022,HS22,850440,A000,World,5754560431,"WTO IDB"
Imports,C156,China,2024,HS22,850440,A000,World,5021823057,"Trade Data Monitor"
Imports,C840,"United States of America",2020,HS17,850440,A000,World,10456538353,"WTO IDB"
Imports,C704,"Viet Nam",2022,HS17,850440,A000,World,1263354686.62329,"UN Comtrade"
Imports,C392,Japan,2020,HS17,850440,A000,World,2225674059.91719,"WTO IDB"
Imports,C840,"United States of America",2023,HS22,850440,A000,World,17282386579,"WTO IDB"
Imports,C156,China,2021,HS17,850440,A000,World,5780647328,"WTO IDB"
Imports,C410,"Korea, Republic of",2023,HS22,850440,A000,World,2406354407,"WTO IDB"
Imports,C840,"United States of America",2024,HS22,850440,A000,World,17106503520,"Trade Data Monitor"
Imports,C704,"Viet Nam",2020,HS17,850440,A000,World,1396554881.882,"UN Comtrade"
Imports,C156,China,2020,HS17,850440,A000,World,4844480179,"WTO IDB"
Imports,C156,China,2023,HS22,850440,A000,World,5885073366,"WTO IDB"
Imports,C410,"Korea, Republic of",2024,HS22,850440,C004,Afghanistan,378,"Trade Data Monitor"
Imports,C156,China,2024,HS22,850440,C004,Afghanistan,943,"Trade Data Monitor"
Imports,C156,China,2023,HS22,850440,C004,Afghanistan,576,"WTO IDB"
Imports,C840,"United States of America",2024,HS22,850440,C004,Afghanistan,20000,"Trade Data Monitor"
Imports,C840,"United States of America",2020,HS17,850440,C004,Afghanistan,14222,"WTO IDB"
Imports,C156,China,2021,HS17,850440,C004,Afghanistan,3406,"WTO IDB"
Imports,C156,China,2022,HS22,850440,C004,Afghanistan,55491,"WTO IDB"
Imports,C840,"United States of America",2023,HS22,850440,C008,Albania,4757,"WTO IDB"
Imports,C410,"Korea, Republic of",2023,HS22,850440,C008,Albania,511,"WTO IDB"
Imports,C840,"United States of America",2021,HS17,850440,C008,Albania,10998,"WTO IDB"
Imports,C392,Japan,2020,HS17,850440,C008,Albania,124870.5423846,"WTO IDB"
Imports,C156,China,2023,HS22,850440,C008,Albania,3651,"WTO IDB"
Imports,C840,"United States of America",2024,HS22,850440,C008,Albania,4559,"Trade Data Monitor"
Imports,C156,China,2020,HS17,850440,C008,Albania,227102,"WTO IDB"
Imports,C410,"Korea, Republic of",2020,HS17,850440,C008,Albania,7849,"WTO IDB"
Imports,C840,"United States of America",2021,HS17,850440,C012,Algeria,23500,"WTO IDB"
