id,Country/Territory,Year of MFN applied tariff,Binding coverage | Bound in %,Simple average | Bound,Simple average | MFN applied,Duty-free | Bound,Duty-free | MFN applied,Non-ad valorem duties | Bound,Non-ad valorem duties | MFN applied,Duties > 15% | Bound,Duties > 15% | MFN applied,Duties > 3 * AVG | Bound,Duties > 3 * AVG | MFN applied,Concessions not yet implemented in 2024,Maximum duty | Bound,Maximum duty | MFN applied,Number of distinct duty rates | Bound,Number of distinct duty rates | MFN applied,Coefficient of variation | Bound,Coefficient of variation | MFN applied,Number of MFN applied tariff lines,Country/Territory.1,N
8,Albania                                                                                                                                               ,2024,,9.7,7.7,10.2,12.3,0.0,0.0,17.5,0.0,0.0,0.0,0.0,     20,     15,6.0,6.0,57.0,59.0,2136.0,Albania,N
24,Angola                                                                                                                                                ,2023,,52.7,21.5,0.0,30.2,0.0,0.0,94.4,47.2,0.0,0.3,0.0,     60,     70,4.0,12.0,18.0,99.0,792.0,Angola,N
28,Antigua and Barbuda                                                                                                                                   ,,,105.0,,0.0,,0.0,,99.9,,0.0,,0.0,    220,,10.0,,17.0,,,Antigua and Barbuda,N
32,Argentina                                                                                                                                             ,2024,,32.4,9.5,0.1,10.9,0.0,0.0,95.2,15.2,0.0,1.2,0.0,     35,     35,13.0,21.0,24.0,63.0,1100.0,Argentina,N
51,Armenia                                                                                                                                               ,2024,,14.7,8.1,1.3,9.1,0.0,23.5,0.0,1.1,0.0,0.9,0.0,     15,     80,5.0,140.0,14.0,57.0,2582.0,Armenia,N
36,Australia                                                                                                                                             ,2024,,3.2,1.2,33.1,76.3,1.6,0.9,3.0,0.1,8.9,23.7,0.0,     29,     16,26.0,5.0,148.0,165.0,883.0,Australia,N
31,Azerbaijan                                                                                                                                            ,2024,,,13.0,,13.1,,7.4,,4.0,,1.6,,,    112,,17.0,,99.0,2224.0,Azerbaijan,
44,Bahamas                                                                                                                                               ,2024,,,14.7,,49.2,,0.2,,36.4,,12.6,,,    201,,16.0,,149.0,1085.0,Bahamas,
48,"Bahrain, Kingdom of                                                                                                                                   ",2024,,39.4,5.2,0.0,26.4,0.0,1.4,99.9,1.6,2.1,1.6,0.0,    200,    100,3.0,10.0,64.0,240.0,1301.0,"Bahrain, Kingdom of",N
50,Bangladesh                                                                                                                                            ,2024,,186.2,17.7,0.0,8.7,0.0,0.7,98.2,61.2,0.0,0.0,0.0,    200,     25,9.0,8.0,26.0,52.0,1171.0,Bangladesh,N
52,Barbados                                                                                                                                              ,,,111.0,,0.0,,0.0,,99.9,,0.0,,0.0,    223,,15.0,,23.0,,,Barbados,N
112,Belarus                                                                                                                                               ,2024,,,9.8,,9.1,,23.5,,6.6,,1.9,,,    193,,141.0,,118.0,2704.0,Belarus,
84,Belize                                                                                                                                                ,2024,,101.3,22.5,0.0,17.2,0.0,3.2,99.9,45.8,0.0,5.7,0.0,    110,    110,4.0,31.0,6.0,108.0,1176.0,Belize,N
204,Benin                                                                                                                                                 ,2024,,61.4,15.9,0.0,0.0,0.0,0.0,97.9,54.5,0.0,0.0,0.0,    100,     35,7.0,4.0,20.0,59.0,938.0,Benin,N
64,Bhutan                                                                                                                                                ,2024,,,9.8,,24.5,,0.0,,2.6,,2.6,,,    100,,4.0,,154.0,815.0,Bhutan,
68,"Bolivia, Plurinational State of                                                                                                                       ",2023,,40.0,13.2,0.0,0.8,0.0,0.0,100.0,22.0,0.0,2.7,0.0,     40,     40,2.0,7.0,2.0,50.0,1086.0,"Bolivia, Plurinational State of",N
70,Bosnia and Herzegovina                                                                                                                                ,2024,,,8.2,,36.9,,21.2,,16.8,,8.9,,,     96,,48.0,,108.0,2211.0,Bosnia and Herzegovina,
72,Botswana                                                                                                                                              ,2024,,36.5,8.4,21.9,46.7,0.0,12.3,72.4,21.5,2.3,6.2,0.0,    597,    102,51.0,79.0,136.0,132.0,1225.0,Botswana,N
76,Brazil                                                                                                                                                ,2024,,35.4,9.0,2.7,10.9,0.0,0.0,95.7,6.9,0.0,0.8,0.0,     55,     35,21.0,12.0,31.0,57.0,1084.0,Brazil,N
96,Brunei Darussalam                                                                                                                                     ,2024,,31.5,0.1,0.0,97.9,2.2,1.1,96.7,0.0,1.0,2.1,0.0, > 1000,     50,10.0,5.0,273.0,1117.0,1441.0,Brunei Darussalam,I
