id,Country/Territory,Year of MFN applied tariff,Binding coverage | Bound in %,Simple average | Bound,Simple average | MFN applied,Duty-free | Bound,Duty-free | MFN applied,Non-ad valorem duties | Bound,Non-ad valorem duties | MFN applied,Duties > 15% | Bound,Duties > 15% | MFN applied,Duties > 3 * AVG | Bound,Duties > 3 * AVG | MFN applied,Concessions not yet implemented in 2024,Maximum duty | Bound,Maximum duty | MFN applied,Number of distinct duty rates | Bound,Number of distinct duty rates | MFN applied,Coefficient of variation | Bound,Coefficient of variation | MFN applied,Number of MFN applied tariff lines,Country/Territory.1,N
8,Albania                                                                                                                                               ,2024,100.0,6.6,3.5,32.7,54.3,0.0,0.0,15.2,0.0,11.0,9.7,0.0,     20,     15,9.0,6.0,101.0,134.0,9766.0,Albania,N
24,Angola                                                                                                                                                ,2023,100.0,59.1,11.0,0.0,44.0,0.0,0.0,99.2,25.7,0.0,10.4,0.0,     80,     70,6.0,13.0,8.0,143.0,5656.0,Angola,N
28,Antigua and Barbuda                                                                                                                                   ,,95.2,59.5,,0.0,,0.0,,95.2,,0.2,,0.0,    220,,32.0,,39.0,,,Antigua and Barbuda,N
32,Argentina                                                                                                                                             ,2024,100.0,31.8,12.5,0.0,18.5,0.0,0.0,97.8,34.5,0.0,0.0,0.0,     35,     35,17.0,61.0,23.0,88.0,10798.0,Argentina,N
51,Armenia                                                                                                                                               ,2024,100.0,8.7,6.4,35.3,15.8,0.0,8.8,0.0,0.6,0.0,0.3,0.0,     15,     80,9.0,253.0,80.0,71.0,13110.0,Armenia,N
36,Australia                                                                                                                                             ,2024,97.2,9.4,2.4,23.6,52.1,1.0,0.1,12.8,0.0,5.7,0.1,0.0,     55,     16,55.0,5.0,118.0,99.0,6817.0,Australia,N
31,Azerbaijan                                                                                                                                            ,2024,,,7.8,,37.2,,1.7,,0.8,,0.6,,,    185,,33.0,,120.0,10591.0,Azerbaijan,
44,Bahamas                                                                                                                                               ,2024,,,30.3,,18.5,,0.0,,74.7,,0.1,,,    300,,17.0,,72.0,6634.0,Bahamas,
48,"Bahrain, Kingdom of                                                                                                                                   ",2024,70.3,34.9,4.7,2.0,11.0,0.0,0.2,68.3,0.3,0.3,0.3,0.0,    200,    305,4.0,13.0,40.0,158.0,7904.0,"Bahrain, Kingdom of",N
50,Bangladesh                                                                                                                                            ,2024,17.6,155.1,14.1,0.0,4.3,0.0,0.4,16.9,42.0,0.0,0.0,0.0,    200,     25,17.0,19.0,49.0,66.0,7517.0,Bangladesh,N
52,Barbados                                                                                                                                              ,,95.2,78.9,,0.0,,0.0,,95.2,,0.5,,0.0,    247,,29.0,,30.0,,,Barbados,N
112,Belarus                                                                                                                                               ,2024,,,6.6,,15.8,,8.8,,1.5,,1.0,,,    193,,254.0,,114.0,13232.0,Belarus,
84,Belize                                                                                                                                                ,2024,96.0,59.1,11.9,0.0,11.0,0.0,0.5,96.0,26.8,0.0,10.7,0.0,    110,    110,5.0,41.0,32.0,122.0,6994.0,Belize,N
204,Benin                                                                                                                                                 ,2024,38.7,29.2,12.0,0.8,1.7,0.0,0.0,18.0,38.6,0.8,0.0,0.0,    100,     35,14.0,5.0,94.0,61.0,6380.0,Benin,N
64,Bhutan                                                                                                                                                ,2024,,,9.3,,11.1,,0.0,,0.9,,0.6,,,    100,,11.0,,75.0,5864.0,Bhutan,
68,"Bolivia, Plurinational State of                                                                                                                       ",2023,100.0,40.0,11.8,0.0,7.0,0.0,0.0,100.0,20.8,0.0,6.2,0.0,     40,     40,2.0,9.0,1.0,81.0,8129.0,"Bolivia, Plurinational State of",N
70,Bosnia and Herzegovina                                                                                                                                ,2024,,,6.1,,31.4,,2.9,,2.3,,2.1,,,     96,,57.0,,111.0,10456.0,Bosnia and Herzegovina,
72,Botswana                                                                                                                                              ,2024,93.8,18.7,7.5,14.1,60.5,0.0,2.4,38.4,20.1,2.8,9.1,0.0,    597,    102,56.0,102.0,129.0,139.0,8477.0,Botswana,N
76,Brazil                                                                                                                                                ,2024,100.0,31.4,12.0,1.0,17.8,0.0,0.0,96.4,27.7,0.0,0.0,0.0,     55,     35,32.0,22.0,28.0,85.0,10481.0,Brazil,N
96,Brunei Darussalam                                                                                                                                     ,2024,95.5,25.4,0.5,0.0,92.8,0.3,0.2,95.3,0.0,0.1,7.0,0.0, > 1000,    105,13.0,11.0,138.0,527.0,11413.0,Brunei Darussalam,I
854,Burkina Faso                                                                                                                                          ,2024,38.8,43.8,12.0,0.7,1.7,0.0,0.0,18.1,38.6,0.0,0.0,0.0,    100,     35,12.0,5.0,105.0,61.0,6380.0,Burkina Faso,N
108,Burundi                                                                                                                                               ,2024,22.3,68.7,14.0,0.8,38.4,0.0,0.5,19.1,41.9,0.0,0.6,0.0,    100,    100,11.0,11.0,62.0,97.0,5958.0,Burundi,N
