id,Country/Territory,Year of MFN applied tariff,Binding coverage | Bound in %,Simple average | Bound,Simple average | MFN applied,Duty-free | Bound,Duty-free | MFN applied,Non-ad valorem duties | Bound,Non-ad valorem duties | MFN applied,Duties > 15% | Bound,Duties > 15% | MFN applied,Duties > 3 * AVG | Bound,Duties > 3 * AVG | MFN applied,Concessions not yet implemented in 2024,Maximum duty | Bound,Maximum duty | MFN applied,Number of distinct duty rates | Bound,Number of distinct duty rates | MFN applied,Coefficient of variation | Bound,Coefficient of variation | MFN applied,Number of MFN applied tariff lines,Country/Territory.1,N
8,Albania                                                                                                                                               ,2024,100.0,6.1,2.9,36.3,   60.9,0.0,0.0,14.8,0.0,10.0,19.1,0.0,20.0,     15,8.0,6.0,111.0,173.0,7630.0,Albania,N
24,Angola                                                                                                                                                ,2023,100.0,60.1,9.3,0.0,   46.3,0.0,0.0,100.0,22.3,0.0,15.6,0.0,80.0,     50,4.0,8.0,3.0,150.0,4864.0,Angola,N
28,Antigua and Barbuda                                                                                                                                   ,,94.4,51.7,,0.0,,0.0,,94.4,,0.2,,0.0,206.0,,26.0,,26.0,,,Antigua and Barbuda,N
32,Argentina                                                                                                                                             ,2024,100.0,31.7,13.0,0.0,   19.7,0.0,0.0,98.2,37.6,0.0,0.0,0.0,35.0,     35,10.0,58.0,23.0,90.0,9698.0,Argentina,N
51,Armenia                                                                                                                                               ,2024,100.0,7.7,6.1,40.9,   16.9,0.0,6.4,0.0,0.5,0.0,0.1,0.0,15.0,     20,8.0,135.0,90.0,72.0,10528.0,Armenia,N
36,Australia                                                                                                                                             ,2024,96.8,10.5,2.6,22.0,   48.3,0.9,0.0,14.5,0.0,6.4,0.0,0.0,55.0,      5,49.0,3.0,111.0,92.0,5934.0,Australia,N
31,Azerbaijan                                                                                                                                            ,2024,,,7.0,,   41.0,,0.8,,0.3,,0.3,,,    185,,20.0,,114.0,8367.0,Azerbaijan,
44,Bahamas                                                                                                                                               ,2024,,,32.8,,   13.6,,0.0,,80.7,,0.0,,,    300,,13.0,,61.0,5549.0,Bahamas,
48,"Bahrain, Kingdom of                                                                                                                                   ",2024,65.5,33.8,4.6,2.3,    8.5,0.0,0.0,63.2,0.1,0.0,0.1,0.0,100.0,    305,3.0,6.0,26.0,124.0,6603.0,"Bahrain, Kingdom of",N
50,Bangladesh                                                                                                                                            ,2024,4.3,37.6,13.5,0.0,    3.6,0.0,0.4,3.7,39.0,0.1,0.0,0.0,200.0,     25,15.0,17.0,79.0,68.0,6346.0,Bangladesh,N
52,Barbados                                                                                                                                              ,,94.4,73.4,,0.0,,0.0,,94.4,,0.6,,0.0,247.0,,18.0,,26.0,,,Barbados,N
112,Belarus                                                                                                                                               ,2024,,,6.1,,   16.9,,6.4,,0.7,,0.2,,,     47,,135.0,,72.0,10528.0,Belarus,
84,Belize                                                                                                                                                ,2024,95.4,52.0,10.3,0.0,   10.0,0.0,0.0,95.4,23.8,0.0,7.1,0.0,110.0,     65,5.0,22.0,16.0,105.0,5818.0,Belize,N
204,Benin                                                                                                                                                 ,2024,28.9,11.2,11.4,0.9,    2.0,0.0,0.0,5.1,36.1,1.3,0.4,0.0,60.0,     35,12.0,5.0,93.0,60.0,5442.0,Benin,N
64,Bhutan                                                                                                                                                ,2024,,,9.3,,    9.0,,0.0,,0.6,,0.3,,,    100,,11.0,,48.0,5049.0,Bhutan,
68,"Bolivia, Plurinational State of                                                                                                                       ",2023,100.0,40.0,11.5,0.0,    8.0,0.0,0.0,100.0,20.6,0.0,6.8,0.0,40.0,     40,2.0,9.0,1.0,86.0,7043.0,"Bolivia, Plurinational State of",N
70,Bosnia and Herzegovina                                                                                                                                ,2024,,,5.8,,   30.5,,0.1,,0.0,,0.0,,,     30,,16.0,,83.0,8245.0,Bosnia and Herzegovina,
72,Botswana                                                                                                                                              ,2024,92.9,15.6,7.4,12.8,   62.7,0.0,0.9,32.9,19.8,0.6,9.0,0.0,50.0,     99,14.0,41.0,69.0,139.0,7252.0,Botswana,N
76,Brazil                                                                                                                                                ,2024,100.0,30.8,12.5,0.7,   18.8,0.0,0.0,96.5,30.9,0.0,0.0,0.0,35.0,     35,19.0,21.0,27.0,87.0,9397.0,Brazil,N
96,Brunei Darussalam                                                                                                                                     ,2024,95.1,24.4,0.6,0.0,   92.0,0.0,0.1,95.1,0.0,0.0,8.0,0.0,50.0,    105,6.0,10.0,30.0,471.0,9972.0,Brunei Darussalam,N
854,Burkina Faso                                                                                                                                          ,2024,29.0,13.7,11.4,0.9,    2.0,0.0,0.0,5.2,36.1,1.4,0.4,0.0,100.0,     35,11.0,5.0,147.0,60.0,5442.0,Burkina Faso,N
108,Burundi                                                                                                                                               ,2024,10.1,27.4,12.3,0.5,   42.1,0.0,0.5,6.9,37.5,1.5,0.2,0.0,100.0,     50,10.0,8.0,113.0,101.0,5156.0,Burundi,N
132,Cabo Verde                                                                                                                                            ,2024,100.0,15.3,11.7,5.3,   11.4,0.0,0.1,41.9,30.3,1.8,6.0,0.0,55.0,     50,12.0,10.0,84.0,103.0,5278.0,Cabo Verde,N
116,Cambodia                                                                                                                                              ,2024,100.0,17.9,9.0,0.9,   17.6,0.0,0.0,41.2,2.9,0.0,2.9,0.0,43.0,     35,20.0,6.0,56.0,77.0,9972.0,Cambodia,N
120,Cameroon                                                                                                                                              ,2023,0.2,68.8,17.4,0.0,    0.8,0.0,0.0,0.2,44.7,0.0,0.0,0.0,80.0,     30,2.0,5.0,23.0,54.0,5164.0,Cameroon,N
124,Canada                                                                                                                                                ,2024,99.7,5.1,2.0,39.0,   79.2,0.3,0.0,6.7,5.7,6.7,15.3,0.0,20.0,     25,123.0,36.0,100.0,200.0,5812.0,Canada,N
140,Central African Republic                                                                                                                              ,2024,55.2,37.4,17.4,0.0,    0.8,0.0,0.0,55.2,44.7,0.0,0.0,0.0,70.0,     30,8.0,5.0,25.0,54.0,5164.0,Central African Republic,N
148,Chad                                                                                                                                                  ,2024,0.5,76.2,17.2,0.0,    0.8,0.0,0.0,0.5,44.6,0.0,0.0,0.0,80.0,     30,2.0,7.0,3.0,54.0,5164.0,Chad,N
152,Chile                                                                                                                                                 ,2024,100.0,25.0,6.0,0.0,    0.4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,25.0,      6,5.0,2.0,2.0,7.0,7282.0,Chile,N
156,China                                                                                                                                                 ,2024,100.0,9.1,6.5,6.6,   10.2,0.0,0.3,13.3,1.4,1.4,0.9,0.0,50.0,     50,55.0,59.0,69.0,68.0,7745.0,China,N
170,Colombia                                                                                                                                              ,2024,100.0,33.5,5.7,5.3,   59.3,0.0,0.0,94.7,4.7,0.1,4.7,0.0,104.0,     40,7.0,8.0,26.0,169.0,6880.0,Colombia,N
174,Comoros                                                                                                                                               ,,100.0,19.3,,5.2,,0.0,,85.8,,0.0,,0.0,32.0,,9.0,,38.0,,,Comoros,N
178,Congo                                                                                                                                                 ,2023,3.4,15.0,17.4,0.0,    0.8,0.0,0.0,1.0,44.7,0.0,0.0,0.0,30.0,     30,3.0,5.0,67.0,54.0,5164.0,Congo,N
184,Cook Islands                                                                                                                                          ,2024,,,0.6,,   99.4,,0.4,,0.6,,0.6,,, > 1000,,33.0,,1017.0,5426.0,Cook Islands,
188,Costa Rica                                                                                                                                            ,2024,100.0,43.1,5.5,2.3,    2.5,0.0,0.0,96.8,0.0,0.0,0.0,0.0,100.0,     46,16.0,7.0,30.0,102.0,9367.0,Costa Rica,N
384,Côte d'Ivoire                                                                                                                                         ,2024,22.6,8.6,11.5,0.9,    2.0,0.0,0.0,2.8,36.1,0.0,0.5,0.0,25.0,     35,12.0,5.0,68.0,61.0,5442.0,Côte d'Ivoire,N
192,Cuba                                                                                                                                                  ,2023,21.6,8.9,4.4,2.0,    6.5,0.0,0.0,1.7,0.0,0.8,0.0,0.0,62.0,      5,27.0,6.0,83.0,33.0,5402.0,Cuba,N
180,Democratic Republic of the Congo                                                                                                                      ,,100.0,95.7,,0.0,,0.0,,98.7,,0.0,,0.0,100.0,,8.0,,23.0,,,Democratic Republic of the Congo,N
262,Djibouti                                                                                                                                              ,,100.0,40.0,,0.0,,0.0,,99.6,,0.0,,0.0,230.0,,9.0,,20.0,,,Djibouti,N
212,Dominica                                                                                                                                              ,2024,90.9,50.0,8.9,0.0,   24.1,0.0,0.1,90.9,21.7,0.0,5.7,0.0,100.0,    165,3.0,14.0,3.0,138.0,5639.0,Dominica,N
214,Dominican Republic                                                                                                                                    ,2024,100.0,33.2,6.4,2.8,   59.0,0.0,0.0,87.9,25.6,0.0,25.6,0.0,40.0,     20,7.0,5.0,36.0,129.0,6477.0,Dominican Republic,N
218,Ecuador                                                                                                                                               ,2024,100.0,21.1,9.9,0.0,   49.2,0.0,6.1,68.2,30.1,0.0,15.1,0.0,40.0,     40,11.0,23.0,36.0,122.0,7428.0,Ecuador,N
818,Egypt                                                                                                                                                 ,    ,99.3,27.4,,2.1,,0.0,,69.8,,0.2,,0.0,160.0,,19.0,,76.0,,,Egypt,N
222,El Salvador                                                                                                                                           ,2024,100.0,36.2,5.0,2.6,   54.8,0.0,0.0,97.4,0.6,0.0,19.4,0.0,80.0,     40,9.0,13.0,31.0,110.0,7503.0,El Salvador,N
748,Eswatini                                                                                                                                              ,2024,92.9,15.6,7.4,12.8,   62.7,0.0,0.9,32.9,19.8,0.6,9.0,0.0,50.0,    181,15.0,41.0,69.0,141.0,7252.0,Eswatini,N
918,European Union                                                                                                                                        ,2024,100.0,3.9,4.1,28.9,   29.1,0.6,0.5,1.0,1.5,7.4,2.8,0.0,26.0,     26,101.0,101.0,106.0,103.0,7626.0,European Union,N
242,Fiji                                                                                                                                                  ,2024,42.0,40.0,6.4,0.0,   27.5,0.0,1.5,42.0,4.6,0.0,4.5,0.0,40.0, > 1000,1.0,60.0,0.0,463.0,5643.0,Fiji,N
266,Gabon                                                                                                                                                 ,2024,100.0,17.9,17.4,0.0,    0.8,0.0,0.0,45.2,44.7,0.9,0.0,0.0,60.0,     30,6.0,5.0,55.0,54.0,5164.0,Gabon,N
